iter	Passed	Remaining
0	173	173663
1	175	87552
2	176	58655
3	177	44179
4	178	35521
5	179	29734
6	180	25604
7	181	22507
8	182	20098
9	183	18172
10	184	16591
11	185	15272
12	186	14161
13	188	13261
14	189	12447
15	190	11716
16	191	11075
17	192	10508
18	193	9995
19	194	9534
20	195	9117
21	196	8738
22	197	8395
23	198	8078
24	199	7784
25	200	7512
26	202	7289
27	203	7062
28	204	6844
29	205	6639
30	206	6449
31	207	6270
32	208	6103
33	209	5946
34	210	5798
35	211	5658
36	212	5525
37	213	5399
38	214	5279
39	216	5185
40	217	5081
41	218	4978
42	219	4879
43	220	4784
44	221	4695
45	222	4609
46	223	4524
47	224	4445
48	225	4371
49	226	4298
50	227	4228
51	230	4196
52	231	4132
53	232	4069
54	233	4008
55	234	3948
56	235	3894
57	236	3839
58	237	3786
59	238	3733
60	239	3682
61	240	3634
62	241	3586
63	242	3541
64	243	3504
65	244	3467
66	246	3426
67	246	3385
68	247	3345
69	248	3307
70	250	3272
71	251	3235
72	252	3200
73	252	3165
74	253	3131
75	254	3099
76	255	3066
77	256	3035
78	258	3014
79	259	2989
80	260	2960
81	261	2932
82	262	2899
83	263	2873
84	264	2847
85	265	2822
86	266	2796
87	267	2771
88	268	2747
89	269	2723
90	270	2700
91	271	2678
92	272	2662
93	274	2643
94	275	2622
95	276	2601
96	277	2580
97	278	2560
98	279	2540
99	280	2520
100	281	2501
101	281	2482
102	283	2464
103	283	2446
104	284	2428
105	286	2412
106	287	2401
107	288	2386
108	290	2370
109	291	2354
110	292	2338
111	293	2323
112	294	2308
113	294	2292
114	295	2277
115	296	2262
116	297	2247
117	298	2233
118	299	2219
119	301	2208
120	302	2197
121	303	2182
122	304	2169
123	305	2157
124	306	2144
125	307	2132
126	308	2118
127	309	2105
128	310	2093
129	311	2081
130	312	2070
131	313	2058
132	314	2047
133	315	2038
134	316	2030
135	318	2020
136	318	2009
137	319	1998
138	320	1988
139	321	1977
140	322	1967
141	323	1955
142	324	1945
143	325	1935
144	326	1925
145	327	1916
146	328	1906
147	329	1899
148	331	1891
149	332	1882
150	333	1873
151	334	1864
152	335	1855
153	336	1846
154	337	1837
155	338	1829
156	339	1820
157	340	1812
158	341	1803
159	342	1795
160	342	1785
161	344	1780
162	345	1775
163	346	1768
164	347	1760
165	348	1752
166	349	1744
167	350	1737
168	351	1730
169	352	1722
170	353	1715
171	354	1708
172	355	1701
173	357	1695
174	358	1691
175	360	1686
176	361	1681
177	362	1675
178	363	1668
179	365	1665
180	367	1661
181	369	1660
182	371	1656
183	375	1666
184	377	1662
185	378	1657
186	379	1650
187	380	1644
188	381	1638
189	382	1631
190	383	1625
191	384	1619
192	385	1613
193	386	1607
194	388	1603
195	389	1598
196	390	1592
197	391	1586
198	392	1580
199	393	1574
200	394	1568
201	395	1562
202	396	1556
203	397	1550
204	398	1545
205	399	1540
206	400	1534
207	401	1529
208	403	1527
209	404	1522
210	405	1517
211	406	1512
212	407	1506
213	408	1501
214	409	1495
215	410	1490
216	411	1485
217	412	1480
218	413	1475
219	414	1470
220	415	1465
221	417	1462
222	418	1458
223	419	1454
224	420	1449
225	421	1444
226	422	1439
227	423	1434
228	424	1429
229	425	1424
230	426	1419
231	427	1415
232	428	1411
233	429	1406
234	430	1401
235	432	1399
236	433	1395
237	434	1390
238	435	1385
239	436	1381
240	437	1376
241	438	1372
242	439	1367
243	440	1363
244	440	1358
245	442	1354
246	442	1350
247	443	1346
248	444	1341
249	446	1339
250	447	1336
251	448	1332
252	449	1328
253	450	1324
254	451	1320
255	452	1315
256	453	1311
257	454	1307
258	455	1304
259	457	1301
260	458	1298
261	459	1295
262	461	1293
263	463	1291
264	464	1288
265	465	1285
266	467	1282
267	468	1279
268	469	1276
269	471	1274
270	472	1270
271	473	1267
272	474	1264
273	475	1261
274	477	1257
275	478	1254
276	479	1251
277	480	1247
278	481	1244
279	482	1240
280	483	1237
281	485	1235
282	486	1233
283	487	1230
284	490	1229
285	492	1228
286	492	1224
287	493	1221
288	494	1217
289	495	1214
290	496	1210
291	497	1207
292	499	1204
293	500	1201
294	501	1198
295	502	1195
296	504	1194
297	505	1191
298	506	1188
299	507	1184
300	508	1181
301	509	1178
302	510	1174
303	511	1171
304	512	1168
305	513	1165
306	514	1162
307	515	1158
308	516	1155
309	518	1155
310	520	1152
311	521	1149
312	522	1146
313	523	1143
314	524	1139
315	525	1136
316	526	1133
317	527	1130
318	528	1127
319	529	1124
320	530	1121
321	531	1118
322	532	1116
323	534	1114
324	535	1112
325	536	1109
326	537	1106
327	538	1103
328	539	1100
329	540	1097
330	541	1094
331	542	1091
332	543	1088
333	544	1085
334	545	1082
335	546	1080
336	548	1078
337	549	1075
338	550	1072
339	551	1069
340	551	1066
341	552	1063
342	553	1060
343	554	1058
344	555	1055
345	556	1052
346	557	1050
347	558	1047
348	559	1044
349	561	1043
350	563	1040
351	563	1038
352	564	1035
353	565	1032
354	566	1029
355	567	1027
356	568	1024
357	569	1021
358	570	1019
359	571	1016
360	572	1014
361	573	1011
362	574	1008
363	576	1007
364	577	1005
365	579	1003
366	580	1000
367	581	997
368	582	995
369	583	992
370	584	990
371	585	987
372	586	985
373	587	982
374	588	980
375	589	977
376	590	976
377	592	974
378	593	971
379	593	969
380	594	966
381	595	964
382	596	961
383	597	959
384	598	956
385	599	954
386	600	951
387	601	949
388	602	946
389	603	944
390	605	943
391	606	940
392	607	938
393	608	936
394	609	933
395	610	931
396	611	928
397	612	926
398	613	924
399	614	921
400	615	919
401	616	916
402	617	914
403	618	912
404	620	911
405	621	909
406	622	906
407	623	904
408	624	901
409	625	899
410	626	897
411	627	895
412	628	893
